727,"Cadena Comercial OXXO, S.A. de C.V.",Cadereyta II MTA,Mutualismo,107,Nuevo León
728,"Cadena Comercial OXXO, S.A. de C.V.",Central Camionera MTA,Pablo Salce, 615-A,Nuevo León
729,"Cadena Comercial OXXO, S.A. de C.V.",Progreso MTA,Progreso,0,Nuevo León
730,"Cadena Comercial OXXO, S.A. de C.V.",Terraza MTA,Cuahutemoc,710,Nuevo León
731,"Cadena Comercial OXXO, S.A. de C.V.",Hda. Santa Lucia MTA,Carr. Monterrey - Reynosa,400,Nuevo León
732,"Cadena Comercial OXXO, S.A. de C.V.",Villa de Santiago MTA,Morelos,101,Nuevo León
733,"Cadena Comercial OXXO, S.A. de C.V.",Flor de Loto MTA,Av. Teofilo Salinas, 601-A,Nuevo León
734,"Cadena Comercial OXXO, S.A. de C.V.",El Yerbaniz MTA,Carretra Nacional,159,Nuevo León
735,"Cadena Comercial OXXO, S.A. de C.V.",Sian Kaan CUN,Av. Constituyentes Del 74,915,Quintana Roo
736,"Cadena Comercial OXXO, S.A. de C.V.",Vivendi CUN,Av. Nichupte Sm 8 Mz 1 Lt 4 y 5,2,Quintana Roo
737,"Cadena Comercial OXXO, S.A. de C.V.",Timón CUN,Av. Niños Heroes,38,Quintana Roo
738,"Cadena Comercial OXXO, S.A. de C.V.",Privadas CUN,Av. Chemuyil Smza 62 Mza 50 , Lote-1,Quintana Roo
739,"Cadena Comercial OXXO, S.A. de C.V.",Telmex CUN,Av. 40 Norte,157,Quintana Roo
740,"Cadena Comercial OXXO, S.A. de C.V.",Bellavista CUN,115 Av entre Calle 9 y 11 Sur Mza. 45 B Lt 1-4, Lt. 1 Al 4,Quintana Roo
741,"Cadena Comercial OXXO, S.A. de C.V.",Recondo CUN,Av. Puerto Juarez Sm 90 Mz 60, Lts 1 y 2,Quintana Roo
742,"Cadena Comercial OXXO, S.A. de C.V.",Forjadores CUN,Av. Norte Mza 387 Col. Luis Donaldo Colosio, N.4,Quintana Roo
743,"Cadena Comercial OXXO, S.A. de C.V.",Fundadores CUN,30 Av. Norte Smza 1 Mza 45 , Lote 03-A,Quintana Roo
744,"Cadena Comercial OXXO, S.A. de C.V.",Chiluca CUN,Poligomo 3 De La Reserva Territorial Del Ipae, S/N,Quintana Roo
745,"Cadena Comercial OXXO, S.A. de C.V.",Arquitectos CUN,Calle 28 Norte Reg 14 Mza 27, Lote 07,Quintana Roo
746,"Cadena Comercial OXXO, S.A. de C.V.",Carabela CUN,Av. Insurgentes, 601-A ,Quintana Roo
747,"Cadena Comercial OXXO, S.A. de C.V.",La Coruna CUN,Poligono 4 Ubicado En Reserva Territorial Del Ipae, S/N,Quintana Roo
748,"Cadena Comercial OXXO, S.A. de C.V.",Alfa CUN,Av Tulum Poniente  En Tulum Quintana Roo, Numero 1,Quintana Roo
749,"Cadena Comercial OXXO, S.A. de C.V.",Hipico CUN,Carretera Chetumal-Puerto Juarez Km 269.5 Mza 8 , 1 y 2,Quintana Roo
750,"Cadena Comercial OXXO, S.A. de C.V.",Delfinario CUN,"Bahia Xcacel Mza. 23 Planta Baja Edif ""F"" ",11,Quintana Roo
751,"Cadena Comercial OXXO, S.A. de C.V.",Aventuras CUN,Calzada Puerto Maya Mz 02 Sm 10 Reg 10, Lote 03 ,Quintana Roo
752,"Cadena Comercial OXXO, S.A. de C.V.",Kukulcan CUN,Av Alvaro Obregon Mza 3 Colonia Centro,342,Quintana Roo
753,"Cadena Comercial OXXO, S.A. de C.V.",Boca Paila CUN,Av. Tulum Poniente , S/N,Quintana Roo
754,"Cadena Comercial OXXO, S.A. de C.V.",Magisterio CUN,Av. Machuxac Mza. 649 Lt. 01, 21 y 22,Quintana Roo
755,"Cadena Comercial OXXO, S.A. de C.V.",Torero CUN,Calle 10 Avenida Norte, S/N,Quintana Roo
756,"Cadena Comercial OXXO, S.A. de C.V.",Ovelisco CUN,Calle Ramón Corona Zona 56 Mza 13 , Lote 10,Quintana Roo
757,"Cadena Comercial OXXO, S.A. de C.V.",Gladiolas CUN,Gladiolas Lote 15 Del Retorno 7 Mz 16 Sm 22,16,Quintana Roo
758,"Cadena Comercial OXXO, S.A. de C.V.",Estefanía CUN,Blvd. Kukulcan Km 13.52 Al 13.73 , Seccion A,Quintana Roo
759,"Cadena Comercial OXXO, S.A. de C.V.",Cielo CUN,Av Niuos Heroes Smza 259 Mza 106 , Lote 30,Quintana Roo
760,"Cadena Comercial OXXO, S.A. de C.V.",Ravema CUN,Av. Cosntituyentes Region 15 Mza 11, Lote 01,Quintana Roo
761,"Cadena Comercial OXXO, S.A. de C.V.",Pegaso CUN,4 Reg. 17 Mza. 16 Lt. 06,6,Quintana Roo
762,"Cadena Comercial OXXO, S.A. de C.V.",Creación CUN,Av. Petempich O 115 Av. Sm. 67 Mza. 34 , Lt. 01,Quintana Roo
763,"Cadena Comercial OXXO, S.A. de C.V.",Pepe Market CUN,Av Xcaret Smza 20 Mza 17 , Lote 104,Quintana Roo
764,"Cadena Comercial OXXO, S.A. de C.V.",Industrial CUN,Av Industrial Region 95 Mza 128 , Lote 16,Quintana Roo
765,"Cadena Comercial OXXO, S.A. de C.V.",Lagunas CUN,Av. Insurgentes S/N Mza. 42, Lote 12,Quintana Roo
766,"Cadena Comercial OXXO, S.A. de C.V.",Andara CUN,Calzada Del Centenario S/N Mz 034, Lt 039-04,Quintana Roo
